연도,구분,누적 설비용량(MW),월,발전량,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),월합계강수량(mm),평균 운량(1/10),일수,이용률
2023,서울,50,6,5669.51,서울,195.1,572.1700000000001,72.32916666666667,23.37625,195.6,5.856944444444444,30,15.748638888888888
2023,울산,148,6,11541.2,울산,204.7,602.1400000000001,73.91666666666667,22.27902777777777,141.4,6.336111111111111,30,10.830705705705707
2024,서울,50,6,6722.21,서울,285.6,714.52,60.42777777777778,24.5675,115.9,4.2444444444444445,30,18.672805555555556
2024,울산,178,6,15158.35,울산,209.0,599.66,70.68194444444444,22.57111111111111,124.60000000000002,6.113888888888889,30,11.82767634207241
2021,서울,44,7,5118.98,서울,195.2,578.31,70.98387096774194,28.079973118279568,168.3,5.884408602150538,31,15.637157869012707
2021,울산,113,7,8204.16,울산,235.8,0.0,85.06317204301075,25.94637096774193,189.3,6.587365591397849,31,9.758492720525263
2022,서울,48,7,4794.04,서울,140.1,508.79,77.22446236559139,27.32258064516129,251.2,6.865591397849462,31,13.424171146953404
2022,울산,125,7,8937.5,울산,183.9,0.0,83.0630376344086,25.951478494623657,125.0,6.595430107526882,31,9.61021505376344
2023,서울,50,7,4635.28,서울,146.10000000000002,478.8,81.13037634408602,26.68010752688172,459.9,6.670698924731183,31,12.46043010752688
2023,울산,148,7,10128.0,울산,166.90000000000003,533.64,80.39784946236558,25.76344086021505,266.9,6.645161290322581,31,9.19790758500436
2024,서울,50,7,4180.46,서울,96.3,402.43,81.1236559139785,26.557661290322574,557.3,7.60752688172043,31,11.237795698924732
2024,울산,178,7,13884.16,울산,193.6,564.5699999999999,77.40053763440861,26.912634408602152,209.2,6.225806451612903,31,10.483991784462969
2021,서울,44,8,4072.12,서울,127.3,428.88,74.41666666666667,25.850537634408607,206.80000000000004,7.0822102425876015,31,12.439271749755621
2021,울산,113,8,6654.68,울산,166.3,0.0,86.56451612903226,25.347311827956982,443.9,6.991869918699187,31,7.915453420877344
2022,서울,48,8,4029.27,서울,116.3,403.88,80.32123655913979,25.733870967741936,565.9,7.416666666666667,31,11.28267809139785
2022,울산,125,8,8464.37,울산,162.0,0.0,78.71908602150538,26.38427419354839,138.5,6.876344086021505,31,9.101473118279571
2023,서울,50,8,4702.84,서울,156.1,469.77,76.34408602150538,27.19704301075269,298.1,6.538978494623656,31,12.642043010752687
2023,울산,148,8,10403.66,울산,196.2,530.65,79.6008064516129,26.54005376344086,402.4,5.831989247311828,31,9.448252688172044
2024,서울,50,8,5454.31,서울,179.0,507.93,72.65994623655914,29.31787634408602,72.79999999999998,4.891129032258065,31,14.66212365591398
2024,울산,178,8,16803.28,울산,272.0,654.8,75.86962365591398,27.949193548387093,89.10000000000001,4.157258064516129,31,12.68823245137127
2021,서울,44,9,4614.26,서울,182.0,474.14,70.96111111111111,22.56194444444445,135.4,5.5569444444444445,30,14.565214646464646
2021,울산,113,9,5791.38,울산,136.9,0.0,83.275,22.095694444444447,125.2,7.104311543810849,30,7.118215339233039
2022,서울,48,9,5045.46,서울,203.90000000000003,496.22,68.25694444444444,22.34486111111111,201.3,5.284722222222222,30,14.599131944444444
2022,울산,125,9,7483.92,울산,134.7,0.0,78.89583333333333,21.65458333333333,284.79999999999995,6.880555555555556,30,8.315466666666667
2023,서울,50,9,4551.33,서울,157.10000000000002,425.79,73.6625,23.63583333333333,134.5,6.220833333333333,30,12.642583333333333
2023,울산,148,9,8384.5,울산,142.89999999999998,397.49,80.39166666666667,22.90958333333333,277.6,6.4375,30,7.868337087087086
2024,서울,50,9,4772.03,서울,166.89999999999998,439.21,71.78611111111111,25.473333333333336,143.9,5.398611111111111,30,13.255638888888887
2024,울산,178,9,12288.96,울산,167.7,453.19,79.90972222222223,24.63625,237.0,5.763888888888889,30,9.588764044943819
2021,서울,44,10,3995.58,서울,168.4,353.63,69.73521505376344,15.579301075268818,57.0,4.801075268817204,31,12.205461876832844
2021,울산,113,10,7202.58,울산,214.9,0.0,74.96236559139786,17.063709677419354,48.99999999999999,4.193548387096774,31,8.56715672280902
2022,서울,48,10,4713.0,서울,216.0,420.22,68.76612903225806,14.546370967741936,124.1,4.221774193548387,31,13.197244623655912
2022,울산,125,10,8396.5,울산,208.90000000000003,0.0,67.07661290322581,16.025537634408604,30.4,4.943548387096774,31,9.028494623655913
2023,서울,50,10,4952.23,서울,208.7,416.58,66.52016129032258,15.767741935483873,31.0,3.793010752688172,31,13.31244623655914
2023,울산,148,10,11077.42,울산,229.8,459.27,61.85618279569893,16.388575268817206,4.300000000000001,3.641129032258065,31,10.060138767800058
2024,서울,50,10,4343.28,서울,166.40000000000003,367.11,69.61424731182795,16.670026881720432,74.0,4.685483870967742,31,11.675483870967742
2024,울산,178,10,10033.48,울산,121.7,316.51,75.88172043010752,17.814650537634407,174.3,6.44489247311828,31,7.57632596351335
2021,서울,44,11,3253.8,서울,163.6,271.64,67.91666666666667,8.200972222222223,62.400000000000006,4.101388888888889,30,10.270833333333334
