연도,구분,누적 설비용량(MW),월,발전량,일수,이용률,지역,월합계일조(hr),월합계일사(MJ/m²),평균 습도(%),평균 기온(°C),평균 강수량(mm),평균 운량(1/10),flag_abnormal_sunshine,flag_invalid_solar,flag_impute,월합계일조(hr)_month_mean,월합계일사(MJ/m²)_month_mean
2021,서울,44.0,9,4614.26,30,14.565214646464646,서울,370.0,494.0,70.88333333,22.59666667,4.366666667,5.36,False,False,False,315.3333333333333,556.3333333333334
2021,울산,113.0,9,5791.38,30,7.118215339233039,울산,222.0,687.0,83.13,22.13,4.173333333,7.03,False,False,False,200.5,625.5
2022,서울,48.0,9,5045.46,30,14.599131944444444,서울,315.3333333333333,556.3333333333334,68.09,22.35333333,6.716666667,5.133333333,True,False,True,315.3333333333333,556.3333333333334
2022,울산,125.0,9,7483.92,30,8.315466666666667,울산,247.0,698.0,78.93,21.65333333,9.493333333,6.783333333,False,False,False,200.5,625.5
2023,서울,50.0,9,4551.33,30,12.642583333333333,서울,363.0,575.0,73.48333333,23.66333333,4.483333333,6.216666667,False,False,False,315.3333333333333,556.3333333333334
2023,울산,148.0,9,8384.5,30,7.868337087087086,울산,146.0,574.0,80.41,22.90333333,9.223333333,6.593333333,False,False,False,200.5,625.5
2024,서울,50.0,9,4772.03,30,13.255638888888887,서울,213.0,600.0,71.80333333,25.48333333,4.796666667,5.22,False,False,False,315.3333333333333,556.3333333333334
2024,울산,178.0,9,12288.96,30,9.588764044943819,울산,187.0,543.0,79.76333333,24.67333333,7.9,5.76,False,False,False,200.5,625.5
2021,서울,44.0,10,3995.58,31,12.205461876832844,서울,185.0,448.0,69.72258065,15.57419355,1.838709677,4.735483871,False,False,False,281.5,390.75
2021,울산,113.0,10,7202.58,31,8.56715672280902,울산,112.0,334.0,74.82258065,17.06129032,1.580645161,4.116129032,False,False,False,151.75,416.5
2022,서울,48.0,10,4713.0,31,13.197244623655912,서울,333.0,443.0,68.88709677,14.56451613,4.003225806,4.212903226,False,False,False,281.5,390.75
2022,울산,125.0,10,8396.5,31,9.028494623655913,울산,87.0,423.0,66.89677419,16.02258065,0.980645161,4.832258065,False,False,False,151.75,416.5
2023,서울,50.0,10,4952.23,31,13.31244623655914,서울,302.0,258.0,66.47741935,15.79354839,1.0,3.716129032,False,False,False,281.5,390.75
2023,울산,148.0,10,11077.42,31,10.060138767800058,울산,220.0,290.0,61.91935484,16.37741935,0.138709677,3.522580645,False,False,False,151.75,416.5
2024,서울,50.0,10,4343.28,31,11.675483870967742,서울,306.0,414.0,69.63870968,16.65483871,2.387096774,4.680645161,False,False,False,281.5,390.75
2024,울산,178.0,10,10033.48,31,7.57632596351335,울산,188.0,619.0,75.92580645,17.78064516,5.622580645,6.516129032,False,False,False,151.75,416.5
2021,서울,44.0,11,3253.8,30,10.270833333333334,서울,210.0,218.0,67.84666667,8.18,2.08,4.186666667,False,False,False,196.5,279.5
2021,울산,113.0,11,6580.49,30,8.088114552605703,울산,171.0,90.0,59.44666667,11.07,1.656666667,2.836666667,False,False,False,162.75,245.25
2022,서울,48.0,11,3758.25,30,10.874565972222221,서울,201.0,336.0,64.39,10.03,2.816666667,3.746666667,False,False,False,196.5,279.5
2022,울산,125.0,11,7206.13,30,8.006811111111112,울산,199.0,223.0,58.32666667,12.72666667,1.496666667,3.456666667,False,False,False,162.75,245.25
2023,서울,50.0,11,3708.8,30,10.302222222222222,서울,85.0,294.0,64.50333333,6.796666667,2.73,3.783333333,False,False,False,196.5,279.5
2023,울산,148.0,11,9514.81,30,8.929063438438439,울산,139.0,331.0,52.53,10.39333333,1.103333333,2.623333333,False,False,False,162.75,245.25
2024,서울,50.0,11,3688.94,30,10.247055555555555,서울,290.0,270.0,62.37666667,9.676666667,2.0,4.0,False,False,False,196.5,279.5
2024,울산,178.0,11,9989.48,30,7.794538077403246,울산,142.0,337.0,65.29666667,11.75333333,2.25,4.3,False,False,False,162.75,245.25
2021,서울,44.0,12,3243.29,31,9.907410801564028,서울,144.0,146.0,61.49032258,0.583870968,0.25483871,3.212903226,False,False,False,166.5,168.5
2021,울산,113.0,12,6708.67,31,7.979672185745551,울산,93.0,166.0,48.96774194,4.735483871,0.112903226,2.148387097,False,False,False,166.5,195.5
2022,서울,48.0,12,3265.41,31,9.14373319892473,서울,217.0,165.0,58.91935484,-2.816129032,0.438709677,3.412903226,False,False,False,166.5,168.5
2022,울산,125.0,12,7169.53,31,7.709172043010752,울산,215.0,225.0,43.90967742,2.022580645,0.312903226,3.016129032,False,False,False,166.5,195.5
2023,서울,50.0,12,2786.44,31,7.490430107526882,서울,82.0,255.0,69.3483871,1.116129032,2.770967742,4.406451613,False,False,False,166.5,168.5
2023,울산,148.0,12,7880.9,31,7.157167247893054,울산,138.0,330.0,55.41612903,4.864516129,4.087096774,3.580645161,False,False,False,166.5,195.5
2024,서울,50.0,12,3799.51,31,10.213736559139786,서울,223.0,108.0,56.2483871,0.848387097,0.183870968,2.874193548,False,False,False,166.5,168.5
2024,울산,178.0,12,12182.87,31,9.19934003866135,울산,220.0,61.0,44.56451613,4.05483871,0.0,2.567741935,False,False,False,166.5,195.5
