지역,연도,월,연월,util,sunshine_hr,solar_mj,hum,temp_c,rain_mm,cloud,pred_m1,resid_m1,pred_m2,resid_m2
서울,2024,2,2024-02,9.18890804597701,109.3,259.99,72.77011494252874,3.83433908045977,74.69999999999999,6.021551724137931,9.202300075683704,-0.01339202970669362,9.226969075115694,-0.03806102913868337
울산,2024,2,2024-02,5.500201795169831,100.9,247.5,71.20689655172414,5.952729885057472,105.4,6.260057471264368,5.486809765464919,0.013392029704911934,5.462140766028803,0.03806102914102816
서울,2021,3,2021-03,14.991293988269796,213.0,476.94,62.869623655913976,8.974596774193548,110.9,4.604838709677419,14.724112308751979,0.267181679517817,14.781185901514963,0.2101080867548326
울산,2021,3,2021-03,9.17205490531925,204.5,0.0,67.94489247311827,10.506989247311829,138.9,5.491935483870968,9.439236584839515,-0.26718167952026484,9.382162992070947,-0.21010808675169734
서울,2022,3,2022-03,13.339353718637993,173.0,425.4,62.04704301075269,7.615994623655913,102.6,5.30241935483871,13.147706920636779,0.19164679800121398,13.437698292837677,-0.09834457419968423
울산,2022,3,2022-03,9.376645161290323,211.5,0.0,59.685483870967744,9.841666666666669,55.5,5.209176788124156,9.568291959293528,-0.19164679800320528,9.27830058708807,0.09834457420225284
서울,2023,3,2023-03,15.30282258064516,239.8,520.5699999999999,51.17338709677419,9.763306451612904,10.5,3.462365591397849,14.304375960103044,0.998446620542115,14.882732056683162,0.4200905239619974
울산,2023,3,2023-03,9.224861958732928,231.5,514.4,53.854838709677416,11.38239247311828,68.3,4.094086021505376,10.223308579277969,-0.9984466205450406,9.644952482689767,-0.4200905239568389
서울,2024,3,2024-03,14.459623655913978,196.00000000000003,449.94000000000005,56.75757575757576,6.949862258953169,29.9,3.9889807162534434,13.953210408079846,0.5064132478341321,14.353721157248966,0.10590249866501189
울산,2024,3,2024-03,9.896097619910597,215.1,481.91,56.303763440860216,8.47231182795699,80.19999999999999,4.446236559139785,10.402510867747262,-0.5064132478366652,10.00200011857124,-0.10590249866064383
서울,2021,4,2021-04,17.036395202020202,208.6,558.28,54.290277777777774,14.162916666666668,124.10000000000002,4.911111111111111,16.70636296684963,0.3300322351705738,16.932508693743962,0.10388650827623991
울산,2021,4,2021-04,11.472369714847591,241.5,0.0,61.71527777777778,13.819583333333334,73.89999999999999,4.993055555555555,11.80240195002087,-0.3300322351732792,11.576256223120385,-0.10388650827279378
서울,2022,4,2022-04,18.48197337962963,246.40000000000003,615.24,55.21944444444444,14.724166666666664,20.4,4.163888888888889,17.978618358076915,0.5033550215527143,18.334578279878514,0.1473950997511153
울산,2022,4,2022-04,11.803866666666666,258.3,0.0,58.75972222222222,14.722777777777775,81.0,4.275382475660639,12.3072216882219,-0.5033550215552332,11.951261766413444,-0.14739509974677745
서울,2023,4,2023-04,14.308500000000002,182.3,498.03,59.85694444444445,13.769166666666663,96.9,5.277777777777778,13.42539970804225,0.8831002919577529,13.994973683831033,0.31352631616896964
울산,2023,4,2023-04,9.96433933933934,225.0,555.14,60.06805555555555,14.083611111111113,57.7,4.254166666666666,10.847439631299778,-0.8831002919604387,10.277865655503744,-0.3135263161644044
서울,2024,4,2024-04,15.751361111111112,209.2,558.1600000000001,56.1875,16.301944444444445,33.2,4.852777777777778,15.702131579786212,0.04922953132490093,15.979508200782842,-0.22814708967172947
울산,2024,4,2024-04,10.08793695380774,186.8,499.01,69.45,14.900972222222224,99.1,5.708333333333333,10.137166485135314,-0.04922953132757435,9.859789864131479,0.22814708967626096
서울,2021,5,2021-05,15.418682795698924,203.7,570.5,68.18279569892474,17.037768817204302,183.1,5.631720430107527,15.44125378745222,-0.022570991753296354,15.744449377606376,-0.3257665819074518
울산,2021,5,2021-05,10.401905509563232,219.0,0.0,68.21505376344086,17.70806451612903,120.4,5.956989247311828,10.379334517812588,0.022570991750644254,10.076138927652556,0.32576658191067587
서울,2022,5,2022-05,20.06966845878136,302.3,764.61,55.63172043010753,19.09744623655914,7.5,3.938172043010753,19.941278838389767,0.1283896203915944,20.55085026143453,-0.48118180265316823
울산,2022,5,2022-05,13.94815053763441,318.2,0.0,54.348118279569896,19.18158602150537,6.1,4.020161290322581,14.076540158028742,-0.12838962039433177,13.466968734975987,0.4811818026584227
서울,2023,5,2023-05,16.790806451612905,235.6,648.1800000000001,62.4744623655914,19.50900537634409,155.60000000000002,5.283602150537634,16.225283886216317,0.5655225653965879,16.322842896187197,0.4679635554257082
울산,2023,5,2023-05,9.64638731473409,200.0,565.3,69.21505376344086,17.758736559139784,195.2,6.05510752688172,10.211909880133454,-0.5655225653993643,10.114350870155318,-0.46796355542122825
서울,2024,5,2024-05,17.892849462365593,262.0,686.88,63.21236559139785,18.467473118279568,125.1,4.17741935483871,17.61381603409827,0.27903342826732214,18.24874294069251,-0.35589347832691587
울산,2024,5,2024-05,13.306270387821671,273.1,711.71,63.928763440860216,17.87513440860215,69.3,4.243279569892473,13.585303816091816,-0.27903342827014477,12.95037690948965,0.3558934783320211
서울,2021,6,2021-06,15.74715909090909,185.5,563.35,72.65138888888889,22.781111111111112,104.6,5.888888888888889,15.823827773772596,-0.07666868286350592,15.840560421649897,-0.09340133074080725
울산,2021,6,2021-06,10.190511307767943,212.7,0.0,80.28888888888889,21.62708333333333,93.8,6.483333333333333,10.113842624906955,0.07666868286098882,10.097109977024067,0.0934013307438768
서울,2022,6,2022-06,12.725925925925926,131.9,440.59,73.12361111111112,23.30305555555556,393.8,7.020833333333333,12.928768722281019,-0.2028427963550925,12.541774216567275,0.18415170935865177
울산,2022,6,2022-06,10.389555555555557,225.7,0.0,77.35694444444445,22.405972222222225,147.1,5.873611111111111,10.18671275920305,0.20284279635250613,10.573707264912546,-0.1841517093569891
서울,2023,6,2023-06,15.748638888888888,195.1,572.1700000000001,72.32916666666667,23.37625,195.6,5.856944444444444,15.509919251511004,0.2387196373778835,15.535355061008314,0.21328382788057354
울산,2023,6,2023-06,10.830705705705707,204.7,602.1400000000001,73.91666666666667,22.27902777777777,141.4,6.336111111111111,11.069425343086564,-0.2387196373808571,11.043989533582545,-0.21328382787683786
서울,2024,6,2024-06,18.67280555555556,285.6,714.52,60.42777777777778,24.5675,115.9,4.2444444444444445,18.86736610412073,-0.19456054856517113,18.931552272803447,-0.2587467172478881
울산,2024,6,2024-06,11.82767634207241,209.0,599.66,70.68194444444444,22.57111111111111,124.60000000000002,6.113888888888889,11.633115793510342,0.19456054856206784,11.568929624819793,0.2587467172526168
서울,2021,7,2021-07,15.637157869012707,195.2,578.31,70.98387096774194,28.079973118279568,168.3,5.884408602150538,15.663052664812911,-0.025894795800203596,15.273840065873333,0.363317803139374
울산,2021,7,2021-07,9.758492720525265,235.8,0.0,85.06317204301075,25.94637096774193,189.3,6.587365591397849,9.732597924727722,0.025894795797542614,10.121810523661974,-0.36331780313670947
서울,2022,7,2022-07,13.424171146953404,140.1,508.79,77.22446236559139,27.32258064516129,251.2,6.865591397849462,13.849534602225262,-0.42536345527185837,13.894565573455546,-0.4703944265021427
울산,2022,7,2022-07,9.61021505376344,183.9,0.0,83.0630376344086,25.951478494623657,125.0,6.595430107526882,9.184851598493783,0.42536345526965746,9.139820627258892,0.4703944265045479
서울,2023,7,2023-07,12.46043010752688,146.10000000000002,478.8,81.13037634408602,26.68010752688172,459.9,6.670698924731183,12.588994067034914,-0.12856395950803368,12.337083158020636,0.12334694950624403
울산,2023,7,2023-07,9.19790758500436,166.90000000000003,533.64,80.39784946236558,25.76344086021505,266.9,6.645161290322581,9.06934362549914,0.12856395950521993,9.321254534507913,-0.12334694950355285
서울,2024,7,2024-07,11.237795698924732,96.3,402.43,81.1236559139785,26.55766129032257,557.3,7.60752688172043,11.079474119748813,0.15832157917591871,11.193970275040918,0.043825423883813386
울산,2024,7,2024-07,10.483991784462969,193.6,564.5699999999999,77.40053763440861,26.912634408602152,209.2,6.225806451612903,10.64231336364203,-0.1583215791790611,10.527817208344182,-0.0438254238812128
서울,2021,8,2021-08,12.43927174975562,127.3,428.88,74.41666666666667,25.850537634408607,206.80000000000004,7.0822102425876015,12.770110742144677,-0.330838992389058,12.474787523038497,-0.035515773282877916
울산,2021,8,2021-08,7.915453420877344,166.3,0.0,86.56451612903226,25.347311827956982,443.9,6.991869918699187,7.5846144284908235,0.3308389923865205,7.879937647593249,0.03551577328409472
서울,2022,8,2022-08,11.28267809139785,116.3,403.88,80.32123655913979,25.733870967741936,565.9,7.416666666666667,11.544263474576557,-0.2615853831787067,11.410891340172128,-0.1282132487742782
울산,2022,8,2022-08,9.101473118279571,162.0,0.0,78.71908602150538,26.38427419354839,138.5,6.876344086021505,8.839887735102964,0.26158538317660707,8.973259869504234,0.1282132487753369
서울,2023,8,2023-08,12.642043010752689,156.1,469.77,76.34408602150538,27.19704301075269,298.1,6.538978494623656,12.80263904312297,-0.16059603237028064,12.530919805898591,0.11112320485409732
울산,2023,8,2023-08,9.448252688172044,196.2,530.65,79.6008064516129,26.54005376344086,402.4,5.831989247311828,9.287656655804895,0.16059603236714892,9.559375893022992,-0.11112320485094784
서울,2024,8,2024-08,14.66212365591398,179.0,507.93,72.65994623655914,29.31787634408602,72.79999999999998,4.891129032258065,14.913638579609897,-0.25151492369591644,14.957130168539422,-0.29500651262544153
울산,2024,8,2024-08,12.68823245137127,272.0,654.8,75.86962365591398,27.949193548387093,89.10000000000001,4.157258064516129,12.4367175276779,0.2515149236933709,12.393225938740601,0.29500651263066935
서울,2021,9,2021-09,14.565214646464646,182.0,474.14,70.96111111111111,22.56194444444445,135.4,5.5569444444444445,14.209534942230349,0.35567970423429784,14.06060309029968,0.5046115561649671
울산,2021,9,2021-09,7.118215339233039,136.9,0.0,83.275,22.095694444444447,125.2,7.104311543810849,7.473895043469456,-0.35567970423641704,7.622826895395347,-0.5046115561623079
서울,2022,9,2022-09,14.599131944444444,203.90000000000003,496.22,68.25694444444444,22.34486111111111,201.3,5.284722222222222,15.259823319318727,-0.6606913748742826,14.780429816119948,-0.18129787167550404
