지역,연도,월,이용률_anom,월합계일조(hr)_anom,월합계일사(MJ/m²)_anom,평균 습도(%)_anom,평균 기온(°C)_anom,월합계강수량(mm)_anom,평균 운량(1/10)_anom
울산,2022,6,-0.42005667221984666,12.675000000000011,-300.45000000000005,1.7958333333333343,0.1851736111111144,20.374999999999986,-0.328125
서울,2023,6,0.02500652356902222,-4.425000000000011,-0.4874999999999545,2.696180555555557,-0.13072916666666856,-6.875000000000028,0.10416666666666607
울산,2023,6,0.021093477930303806,-8.324999999999989,301.69000000000005,-1.6444444444444457,0.05822916666665989,14.674999999999997,0.13437500000000036
서울,2024,6,2.949173190235694,86.07500000000002,141.86249999999995,-9.205208333333331,1.0605208333333316,-86.57500000000002,-1.5083333333333337
울산,2024,6,1.0180641142970064,-4.024999999999977,299.2099999999999,-4.879166666666677,0.35031250000000114,-2.124999999999986,-0.08784722222222197
서울,2021,7,2.4472691634082757,50.77499999999998,86.22749999999996,-6.631720430107521,0.9198924731182814,-190.87499999999994,-0.8726478494623651
울산,2021,7,-0.004159065413743335,40.75,-274.5525,3.582022849462362,-0.19711021505376536,-8.299999999999983,0.07392473118279508
서울,2022,7,0.23428244134897191,-4.325000000000017,16.70750000000004,-0.39112903225806406,0.16250000000000142,-107.97499999999997,0.10853494623655902
울산,2022,7,-0.15243673217556797,-11.150000000000006,-274.5525,1.5818884408602116,-0.19200268817203892,-72.6,0.081989247311828
서울,2023,7,-0.7294585980775512,1.6750000000000114,-13.28249999999997,3.51478494623656,-0.4799731182795668,100.72500000000002,-0.08635752688172005
울산,2023,7,-0.5647442009346477,-28.149999999999977,259.0875,-1.0832997311828052,-0.3800403225806477,69.29999999999998,0.131720430107527
서울,2024,7,-1.9520930066797,-48.125000000000014,-89.65249999999997,3.508064516129039,-0.602419354838716,198.125,0.850470430107527
울산,2024,7,0.7213399985239608,-1.450000000000017,290.0174999999999,-4.080611559139783,0.7691532258064555,11.599999999999994,-0.28763440860215095
서울,2021,8,-0.3172573771994145,-17.375000000000014,-23.735000000000014,-1.5188172043010724,-1.1742943548387075,-79.1,0.5999641335536037
울산,2021,8,-1.8728994987977137,-32.82499999999999,-296.36249999999995,6.376008064516128,-1.2078965053763504,175.425,1.0275045895620245
서울,2022,8,-1.4738510355571837,-28.375000000000014,-48.735000000000014,4.385752688172047,-1.2909610215053782,279.99999999999994,0.9344205576326692
울산,2022,8,-0.6868798013954862,-37.125,-296.36249999999995,-1.469422043010752,-0.17093413978494354,-129.97499999999997,0.9119787568843423
서울,2023,8,-0.11448611620234495,11.424999999999983,17.154999999999973,0.40860215053763227,0.17221102150537604,12.199999999999989,0.05673238558965821
울산,2023,8,-0.3401002315030137,-2.9250000000000114,234.28750000000002,-0.5877016129032313,-0.015154569892473546,133.925,-0.13237608182533478
서울,2024,8,1.9055945289589467,34.32499999999999,55.315,-3.2755376344086073,2.293044354838706,-213.10000000000005,-1.5911170767759328
울산,2024,8,2.8998795316962127,72.875,358.4375,-4.318884408602145,1.3939852150537604,-179.37499999999994,-1.8071072646210338
서울,2021,9,0.7995724431818196,4.524999999999977,15.299999999999955,-0.2055555555555486,-0.9420486111111082,-18.375,-0.05833333333333357
